STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00298015,"SANDIA PARK, NM US",1939-01-01,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-02,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-03,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-04,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-05,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-06,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-07,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-08,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-09,1,12,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-10,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-11,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-12,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-13,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-14,0,0,NA,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-15,0,0,6,NA,NA,NA
USC00298015,"SANDIA PARK, NM US",1939-01-16,0.1,2,6,32,20,26
USC00298015,"SANDIA PARK, NM US",1939-01-17,0.06,1.5,8,37,10,26
USC00298015,"SANDIA PARK, NM US",1939-01-18,0,0,NA,40,15,34
USC00298015,"SANDIA PARK, NM US",1939-01-19,0,0,NA,49,12,38
USC00298015,"SANDIA PARK, NM US",1939-01-20,0,0,NA,52,17,41
USC00298015,"SANDIA PARK, NM US",1939-01-21,0,0,NA,46,30,35
USC00298015,"SANDIA PARK, NM US",1939-01-22,0.85,11,11,39,20,20
USC00298015,"SANDIA PARK, NM US",1939-01-23,0,0,NA,41,19,31
USC00298015,"SANDIA PARK, NM US",1939-01-24,0,0,NA,40,10,32
USC00298015,"SANDIA PARK, NM US",1939-01-25,0,0,NA,38,7,32
USC00298015,"SANDIA PARK, NM US",1939-01-26,0,0,NA,40,10,22
USC00298015,"SANDIA PARK, NM US",1939-01-27,0,0,NA,44,13,32
USC00298015,"SANDIA PARK, NM US",1939-01-28,0.29,5,NA,46,26,26
USC00298015,"SANDIA PARK, NM US",1939-01-29,0,0,NA,40,7,26
USC00298015,"SANDIA PARK, NM US",1939-01-30,0,0,NA,44,7,32
USC00298015,"SANDIA PARK, NM US",1939-01-31,0.3,4,8,46,9,29
USC00298015,"SANDIA PARK, NM US",1939-02-01,0,0,NA,32,16,21
USC00298015,"SANDIA PARK, NM US",1939-02-02,0.53,11,15,21,13,13
USC00298015,"SANDIA PARK, NM US",1939-02-03,0,0,15,30,-10,20
USC00298015,"SANDIA PARK, NM US",1939-02-04,0,0,NA,40,7,25
USC00298015,"SANDIA PARK, NM US",1939-02-05,0.1,4,16,36,19,25
USC00298015,"SANDIA PARK, NM US",1939-02-06,0,0,NA,40,4,31
USC00298015,"SANDIA PARK, NM US",1939-02-07,0,0,10,43,27,31
USC00298015,"SANDIA PARK, NM US",1939-02-08,0,0,NA,44,14,39
USC00298015,"SANDIA PARK, NM US",1939-02-09,0,3,NA,41,14,14
USC00298015,"SANDIA PARK, NM US",1939-02-10,0,0,NA,29,-6,22
USC00298015,"SANDIA PARK, NM US",1939-02-11,0,0,5,35,0,25
USC00298015,"SANDIA PARK, NM US",1939-02-12,0,0,5,36,0,32
USC00298015,"SANDIA PARK, NM US",1939-02-13,0,0,4,35,11,25
USC00298015,"SANDIA PARK, NM US",1939-02-14,0,0,4,39,8,31
USC00298015,"SANDIA PARK, NM US",1939-02-15,0,0,4,47,19,37
USC00298015,"SANDIA PARK, NM US",1939-02-16,0.07,2,6,44,17,17
USC00298015,"SANDIA PARK, NM US",1939-02-17,0,0,6,34,11,27
USC00298015,"SANDIA PARK, NM US",1939-02-18,0.08,2,7,39,26,28
USC00298015,"SANDIA PARK, NM US",1939-02-19,0,0,6,41,19,37
USC00298015,"SANDIA PARK, NM US",1939-02-20,0,0,5,40,17,31
USC00298015,"SANDIA PARK, NM US",1939-02-21,0,0,4,39,2,21
USC00298015,"SANDIA PARK, NM US",1939-02-22,0,0,3,44,3,35
USC00298015,"SANDIA PARK, NM US",1939-02-23,0,0,3,46,10,41
USC00298015,"SANDIA PARK, NM US",1939-02-24,0,0,3,45,20,31
USC00298015,"SANDIA PARK, NM US",1939-02-25,0,0,3,46,25,37
USC00298015,"SANDIA PARK, NM US",1939-02-26,0.01,0.8,3,39,21,21
USC00298015,"SANDIA PARK, NM US",1939-02-27,0,0,3,33,14,28
USC00298015,"SANDIA PARK, NM US",1939-02-28,0,0,3,36,10,33
USC00298015,"SANDIA PARK, NM US",1939-03-01,0.11,2.5,5,36,17,30
USC00298015,"SANDIA PARK, NM US",1939-03-02,0,0,5,39,10,30
USC00298015,"SANDIA PARK, NM US",1939-03-03,0,0,5,40,4,34
USC00298015,"SANDIA PARK, NM US",1939-03-04,0,0,5,38,21,28
USC00298015,"SANDIA PARK, NM US",1939-03-05,0,0,5,37,19,24
USC00298015,"SANDIA PARK, NM US",1939-03-06,0,0,4,45,0,42
USC00298015,"SANDIA PARK, NM US",1939-03-07,0,0,3,52,16,49
USC00298015,"SANDIA PARK, NM US",1939-03-08,0,0,2,54,37,49
USC00298015,"SANDIA PARK, NM US",1939-03-09,0,0,1,60,24,53
USC00298015,"SANDIA PARK, NM US",1939-03-10,0.02,0,1,55,31,50
USC00298015,"SANDIA PARK, NM US",1939-03-11,0,0,NA,53,26,44
USC00298015,"SANDIA PARK, NM US",1939-03-12,0,0,NA,57,18,43
USC00298015,"SANDIA PARK, NM US",1939-03-13,0,0,NA,61,25,54
USC00298015,"SANDIA PARK, NM US",1939-03-14,0,0,NA,60,42,51
USC00298015,"SANDIA PARK, NM US",1939-03-15,0,0,NA,59,20,53
USC00298015,"SANDIA PARK, NM US",1939-03-16,0,0,NA,61,26,51
USC00298015,"SANDIA PARK, NM US",1939-03-17,0,0,NA,63,23,50
USC00298015,"SANDIA PARK, NM US",1939-03-18,0,0,NA,62,29,52
USC00298015,"SANDIA PARK, NM US",1939-03-19,0,0,NA,67,31,60
USC00298015,"SANDIA PARK, NM US",1939-03-20,0.03,0,NA,61,39,40
USC00298015,"SANDIA PARK, NM US",1939-03-21,0.27,0,NA,48,39,46
USC00298015,"SANDIA PARK, NM US",1939-03-22,0.69,0,NA,56,38,40
USC00298015,"SANDIA PARK, NM US",1939-03-23,0,0,NA,61,33,51
USC00298015,"SANDIA PARK, NM US",1939-03-24,0.14,0,NA,58,33,41
USC00298015,"SANDIA PARK, NM US",1939-03-25,0,0,NA,62,30,52
USC00298015,"SANDIA PARK, NM US",1939-03-26,0,0,NA,62,37,46
USC00298015,"SANDIA PARK, NM US",1939-03-27,0.1,0,0,52,33,40
USC00298015,"SANDIA PARK, NM US",1939-03-28,0.65,4.5,4,42,28,28
USC00298015,"SANDIA PARK, NM US",1939-03-29,0.2,0,0,49,25,42
USC00298015,"SANDIA PARK, NM US",1939-03-30,0,0,NA,58,28,50
USC00298015,"SANDIA PARK, NM US",1939-03-31,0,0,NA,62,30,52
USC00298015,"SANDIA PARK, NM US",1939-04-01,0,0,NA,64,31,56
USC00298015,"SANDIA PARK, NM US",1939-04-02,0,0,NA,65,34,58
USC00298015,"SANDIA PARK, NM US",1939-04-03,0,0,NA,67,41,58
USC00298015,"SANDIA PARK, NM US",1939-04-04,0.64,0,NA,65,31,39
USC00298015,"SANDIA PARK, NM US",1939-04-05,0.01,0,NA,55,35,50
USC00298015,"SANDIA PARK, NM US",1939-04-06,0.21,2,NA,52,20,28
USC00298015,"SANDIA PARK, NM US",1939-04-07,0,0,NA,55,18,52
USC00298015,"SANDIA PARK, NM US",1939-04-08,0,0,NA,68,35,63
USC00298015,"SANDIA PARK, NM US",1939-04-09,0,0,NA,72,37,64
USC00298015,"SANDIA PARK, NM US",1939-04-10,0,0,NA,66,38,57
USC00298015,"SANDIA PARK, NM US",1939-04-11,0,0,NA,67,26,36
USC00298015,"SANDIA PARK, NM US",1939-04-12,0,0,NA,68,36,60
USC00298015,"SANDIA PARK, NM US",1939-04-13,0,0,NA,69,40,59
USC00298015,"SANDIA PARK, NM US",1939-04-14,0,0,NA,63,38,55
USC00298015,"SANDIA PARK, NM US",1939-04-15,0,0,NA,57,27,42
USC00298015,"SANDIA PARK, NM US",1939-04-16,0,0,NA,56,32,48
USC00298015,"SANDIA PARK, NM US",1939-04-17,0,0,NA,61,20,51
USC00298015,"SANDIA PARK, NM US",1939-04-18,0,0,NA,65,24,61
USC00298015,"SANDIA PARK, NM US",1939-04-19,0,0,NA,70,31,66
USC00298015,"SANDIA PARK, NM US",1939-04-20,0,0,NA,70,34,62
USC00298015,"SANDIA PARK, NM US",1939-04-21,0,0,NA,72,31,66
USC00298015,"SANDIA PARK, NM US",1939-04-22,0,0,NA,78,40,66
USC00298015,"SANDIA PARK, NM US",1939-04-23,0,0,NA,70,37,57
USC00298015,"SANDIA PARK, NM US",1939-04-24,0,0,NA,65,40,58
USC00298015,"SANDIA PARK, NM US",1939-04-25,0,0,NA,71,38,64
USC00298015,"SANDIA PARK, NM US",1939-04-26,0,0,NA,72,35,65
USC00298015,"SANDIA PARK, NM US",1939-04-27,0,0,NA,69,34,61
USC00298015,"SANDIA PARK, NM US",1939-04-28,0,0,NA,70,35,62
USC00298015,"SANDIA PARK, NM US",1939-04-29,0.02,0,NA,67,37,49
USC00298015,"SANDIA PARK, NM US",1939-04-30,0.39,0,NA,67,36,63
USC00298015,"SANDIA PARK, NM US",1939-05-01,0,0,NA,75,43,64
USC00298015,"SANDIA PARK, NM US",1939-05-02,0,0,NA,77,41,68
