STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-01,0,0,6,31,17,24
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-02,0,0,6,30,11,27
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-03,0,0,6,27,7,21
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-04,0,0,6,22,4,19
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-05,0,0,6,34,16,32
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-06,0,0,6,33,22,32
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-07,0,0,5,32,19,30
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-08,0,0,5,35,16,28
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-09,0,0,5,36,14,34
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-10,0,0,5,35,18,34
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-11,0,0,5,40,23,35
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-12,0,0,5,35,17,29
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-13,0,0,5,35,15,31
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-14,0,0,5,35,13,33
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-15,0.2,1,6,36,30,35
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-16,0.24,2,8,35,25,29
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-17,0,0,8,31,12,26
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-18,0.44,4,12,36,21,32
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-19,0.16,2.5,12,32,20,31
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-20,0.41,4,12,33,27,28
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-21,0.21,2.8,13,32,23,29
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-22,0.07,1,14,31,14,23
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-23,0.76,8,19,27,22,24
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-24,0,0,18,26,4,15
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-25,0,0,18,19,-5,17
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-26,0.06,0,18,26,15,19
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-27,0.13,3,18,21,11,14
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-28,0,0,17,21,8,15
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-29,0,0,17,24,4,19
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-30,0,0,17,32,6,25
USC00102260,"CRATERS OF THE MOON, ID US",1999-01-31,0.23,2.5,19,28,13,25
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-01,0.04,0.5,19,26,11,21
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-02,0.05,0.5,19,24,9,23
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-03,0.05,0.5,19,33,15,26
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-04,0,0,19,35,14,31
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-05,0,0,19,31,7,25
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-06,0.15,1.5,20,29,15,28
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-07,1.77,10,30,31,27,31
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-08,0.18,3.5,33,31,11,22
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-09,1.02,10,39,31,18,31
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-10,0.17,1.5,39,32,6,16
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-11,0,0,38,16,-4,14
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-12,0,0,38,18,2,17
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-13,0,0,38,30,11,26
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-14,0.05,0.3,37,29,20,28
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-15,0,0,37,29,7,21
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-16,0,0,37,30,7,29
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-17,0.38,3.5,37,33,20,29
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-18,0.08,0.8,37,29,10,22
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-19,0.42,4,38,32,19,24
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-20,0,0,40,28,2,15
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-21,0.9,9,46,28,2,24
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-22,0.09,1.5,40,25,10,25
USC00102260,"CRATERS OF THE MOON, ID US",1999-02-23,0.1,1,38,33,20,30
