STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00102942,"EMMETT 2 E, ID US",1/1/99,0.17,0,0,42,29,29
USC00102942,"EMMETT 2 E, ID US",1/2/99,0,0,0,43,24,25
USC00102942,"EMMETT 2 E, ID US",1/3/99,0,0,0,41,22,24
USC00102942,"EMMETT 2 E, ID US",1/4/99,0,0,0,41,23,30
USC00102942,"EMMETT 2 E, ID US",1/5/99,0,0,0,40,24,27
USC00102942,"EMMETT 2 E, ID US",1/6/99,0,0,0,44,25,27
USC00102942,"EMMETT 2 E, ID US",1/7/99,0,0,0,42,27,29
USC00102942,"EMMETT 2 E, ID US",1/8/99,0,0,0,43,27,27
USC00102942,"EMMETT 2 E, ID US",1/9/99,0,0,0,45,26,27
USC00102942,"EMMETT 2 E, ID US",1/10/99,0,0,0,43,27,34
USC00102942,"EMMETT 2 E, ID US",1/11/99,0,0,0,48,28,30
USC00102942,"EMMETT 2 E, ID US",1/12/99,0.01,0,0,38,29,29
USC00102942,"EMMETT 2 E, ID US",1/13/99,0,0,0,44,28,29
USC00102942,"EMMETT 2 E, ID US",1/14/99,0,0,0,47,27,32
USC00102942,"EMMETT 2 E, ID US",1/15/99,0.28,0,0,49,32,41
USC00102942,"EMMETT 2 E, ID US",1/16/99,0.11,0,0,53,37,47
USC00102942,"EMMETT 2 E, ID US",1/17/99,0.1,0,0,47,31,33
USC00102942,"EMMETT 2 E, ID US",1/18/99,0.31,0,0,47,31,43
USC00102942,"EMMETT 2 E, ID US",1/19/99,0,0,0,53,37,45
USC00102942,"EMMETT 2 E, ID US",1/20/99,0.39,0,0,47,38,39
USC00102942,"EMMETT 2 E, ID US",1/21/99,0.24,0,0,49,37,38
USC00102942,"EMMETT 2 E, ID US",1/22/99,0,0,0,48,38,38
USC00102942,"EMMETT 2 E, ID US",1/23/99,0.36,0,0,42,35,35
USC00102942,"EMMETT 2 E, ID US",1/24/99,0.12,0,0,41,27,27
USC00102942,"EMMETT 2 E, ID US",1/25/99,0,0,0,41,21,22
USC00102942,"EMMETT 2 E, ID US",1/26/99,0.1,NA,1,34,21,26
USC00102942,"EMMETT 2 E, ID US",1/27/99,0.01,0,NA,32,16,16
USC00102942,"EMMETT 2 E, ID US",1/28/99,0,0,NA,37,15,28
USC00102942,"EMMETT 2 E, ID US",1/29/99,0,0,NA,38,22,22
USC00102942,"EMMETT 2 E, ID US",1/30/99,0,0,NA,47,21,26
USC00102942,"EMMETT 2 E, ID US",1/31/99,0,0,NA,41,23,30
USC00102942,"EMMETT 2 E, ID US",2/1/99,0,0,0,42,25,25
USC00102942,"EMMETT 2 E, ID US",2/2/99,0,0,0,42,24,31
USC00102942,"EMMETT 2 E, ID US",2/3/99,0.27,4.5,1,45,24,24
USC00102942,"EMMETT 2 E, ID US",2/4/99,0,0,NA,43,24,35
USC00102942,"EMMETT 2 E, ID US",2/5/99,0,0,NA,46,24,25
USC00102942,"EMMETT 2 E, ID US",2/6/99,0.4,0,0,46,23,35
USC00102942,"EMMETT 2 E, ID US",2/7/99,0.3,0,0,48,35,48
USC00102942,"EMMETT 2 E, ID US",2/8/99,0.13,0,0,51,31,33
USC00102942,"EMMETT 2 E, ID US",2/9/99,0.24,0,0,45,31,36
USC00102942,"EMMETT 2 E, ID US",2/10/99,0,0,0,39,22,26
USC00102942,"EMMETT 2 E, ID US",2/11/99,0,0,0,36,20,20
USC00102942,"EMMETT 2 E, ID US",2/12/99,0,0,0,40,19,23
USC00102942,"EMMETT 2 E, ID US",2/13/99,0,0,0,42,21,29
USC00102942,"EMMETT 2 E, ID US",2/14/99,NA,0.8,NA,42,28,30
USC00102942,"EMMETT 2 E, ID US",2/15/99,0.16,0,NA,35,22,25
USC00102942,"EMMETT 2 E, ID US",2/16/99,0.06,0.3,0,37,25,34
USC00102942,"EMMETT 2 E, ID US",2/17/99,0.45,0,0,45,32,37
