STATION,NAME,DATE,PRCP,SN32,SN52,SNOW,SNWD,SX32,SX52,TMAX,TMIN,TOBS
USC00102942,"EMMETT 2 E, ID US",1930-01-01,0.1,,,0,,,,32,26,32
USC00102942,"EMMETT 2 E, ID US",1930-01-02,,,,0,,,,40,20,35
USC00102942,"EMMETT 2 E, ID US",1930-01-03,,,,0,,,,38,22,31
USC00102942,"EMMETT 2 E, ID US",1930-01-04,,,,0,,,,55,28,44
USC00102942,"EMMETT 2 E, ID US",1930-01-05,0.03,,,0,,,,44,33,44
USC00102942,"EMMETT 2 E, ID US",1930-01-06,,,,0,,,,39,24,28
USC00102942,"EMMETT 2 E, ID US",1930-01-07,,,,0,,,,29,14,23
USC00102942,"EMMETT 2 E, ID US",1930-01-08,,,,0,,,,24,12,21
USC00102942,"EMMETT 2 E, ID US",1930-01-09,,,,0,,,,25,15,22
USC00102942,"EMMETT 2 E, ID US",1930-01-10,,,,0,,,,25,14,24
USC00102942,"EMMETT 2 E, ID US",1930-01-11,0.3,,,3,,,,24,18,23
USC00102942,"EMMETT 2 E, ID US",1930-01-12,,,,0,,,,25,14,20
USC00102942,"EMMETT 2 E, ID US",1930-01-13,0.5,,,3,,,,20,16,16
USC00102942,"EMMETT 2 E, ID US",1930-01-14,,,,0,,,,20,-4,16
USC00102942,"EMMETT 2 E, ID US",1930-01-15,,,,0,,,,24,6,20
USC00102942,"EMMETT 2 E, ID US",1930-01-16,,,,2,,,,23,16,16
USC00102942,"EMMETT 2 E, ID US",1930-01-17,,,,0,,,,17,-6,5
USC00102942,"EMMETT 2 E, ID US",1930-01-18,,,,0,,,,15,,11
USC00102942,"EMMETT 2 E, ID US",1930-01-19,0.4,,,5,,,,18,9,16
USC00102942,"EMMETT 2 E, ID US",1930-01-20,,,,0,,,,17,-3,9
USC00102942,"EMMETT 2 E, ID US",1930-01-21,,,,0,,,,9,-27,-3
USC00102942,"EMMETT 2 E, ID US",1930-01-22,,,,0,,,,-2,-23,-5
USC00102942,"EMMETT 2 E, ID US",1930-01-23,,,,0,,,,6,-19,5
USC00102942,"EMMETT 2 E, ID US",1930-01-24,,,,0,,,,16,3,13
USC00102942,"EMMETT 2 E, ID US",1930-01-25,0,,,0,,,,23,9,20
USC00102942,"EMMETT 2 E, ID US",1930-01-26,,,,0,,,,29,18,25
USC00102942,"EMMETT 2 E, ID US",1930-01-27,,,,0,,,,28,14,23
USC00102942,"EMMETT 2 E, ID US",1930-01-28,,,,0,,,,23,4,19
USC00102942,"EMMETT 2 E, ID US",1930-01-29,0,,,0,,,,30,19,28
USC00102942,"EMMETT 2 E, ID US",1930-01-30,,,,0,,,,32,23,30
USC00102942,"EMMETT 2 E, ID US",1930-01-31,,,,0,,,,34,26,32
USC00102942,"EMMETT 2 E, ID US",1930-02-01,0.1,,,,,,,38,29,35
USC00102942,"EMMETT 2 E, ID US",1930-02-02,,,,,,,,38,32,37
USC00102942,"EMMETT 2 E, ID US",1930-02-03,,,,,,,,37,31,35
USC00102942,"EMMETT 2 E, ID US",1930-02-04,,,,,,,,44,32,40
USC00102942,"EMMETT 2 E, ID US",1930-02-05,0,,,,,,,42,33,40
USC00102942,"EMMETT 2 E, ID US",1930-02-06,0.21,,,,,,,40,33,36
